"id" "symbol"
"ENSMUSG00000007739" "ENSMUSG00000007739" "Cct4"
"ENSMUSG00000022234" "ENSMUSG00000022234" "Cct5"
"ENSMUSG00000029447" "ENSMUSG00000029447" "Cct6a"
"ENSMUSG00000030007" "ENSMUSG00000030007" "Cct7"
"ENSMUSG00000025613" "ENSMUSG00000025613" "Cct8"
"ENSMUSG00000051439" "ENSMUSG00000051439" "Cd14"
"ENSMUSG00000038304" "ENSMUSG00000038304" "Cd160"
"ENSMUSG00000027863" "ENSMUSG00000027863" "Cd2"
"ENSMUSG00000056481" "ENSMUSG00000056481" "Cd248"
"ENSMUSG00000047139" "ENSMUSG00000047139" "Cd24a"
"ENSMUSG00000030336" "ENSMUSG00000030336" "Cd27"
"ENSMUSG00000016496" "ENSMUSG00000016496" "Cd274"
"ENSMUSG00000034652" "ENSMUSG00000034652" "Cd300a"
"ENSMUSG00000063193" "ENSMUSG00000063193" "Cd300lb"
"ENSMUSG00000017309" "ENSMUSG00000017309" "Cd300lg"
"ENSMUSG00000060703" "ENSMUSG00000060703" "Cd302"
"ENSMUSG00000016494" "ENSMUSG00000016494" "Cd34"
"ENSMUSG00000015355" "ENSMUSG00000015355" "Cd48"
"ENSMUSG00000000682" "ENSMUSG00000000682" "Cd52"
